"Larger","Smaller","Mixed","Mixed|Screens","Mega","Mega|noCT","Mixed0.3","Best_w_CT","Best_no_CT","B_0.3_CT","B_0.3_noCT"
"aliphatic-aliphatic",-0.19,-0.9,-0.19,-0.71,-0.32,-0.3,-0.19,-0.32,-0.31,-0.32,-0.31
"anionic-aliphatic",0.01,-1.3,0.01,-0.74,-0.42,-0.38,0.01,-0.41,-0.38,-0.41,-0.38
"anionic-anionic",0.57,-4.45,0.57,-2.44,-0.57,-0.38,0.64,-0.06,0,0.03,0.09
"anionic-polar",0.92,-1.81,0.92,0.31,0.5,1.36,1.34,-0.22,0.91,0.25,1.37
"aryl-aliphatic",0.35,-0.95,0.52,-0.35,0.19,0.24,0.52,0.22,0.24,0.22,0.24
"aryl-anionic",0.7,-2.42,0.65,-0.75,0.15,0.63,0.85,0.09,0.63,0.32,0.85
"aryl-aryl",0.36,-0.75,1.58,-0.1,1.11,1.24,1.58,1.08,1.16,1.08,1.17
"aryl-cationic",0.39,-0.96,0.92,-0.14,0.42,0.66,0.92,0.33,0.54,0.38,0.6
"aryl-polar",0.75,-1.05,1.03,-0.27,0.5,0.67,1.03,0.64,0.81,0.64,0.81
"aryl-thiol",0.43,-0.67,0.88,-0.01,0.28,0.33,0.88,0.44,0.49,0.44,0.49
"cationic-aliphatic",0.04,-0.95,0.04,-0.63,-0.22,-0.16,0.04,-0.22,-0.17,-0.22,-0.16
"cationic-anionic",-1.13,-3.15,-1.13,-2.53,-1.49,0.04,0.22,-2.79,-1.05,-1.2,0.54
"cationic-cationic",0.07,-1.53,0.07,-0.82,-0.24,-0.05,0.07,-0.32,-0.15,-0.26,-0.09
"cationic-polar",0.36,-0.98,0.36,-0.67,0.3,0.81,0.43,-0.41,0.18,-0.3,0.29
"polar-aliphatic",-0.04,-1.09,-0.04,-0.71,-0.27,-0.22,-0.04,-0.28,-0.24,-0.28,-0.24
"polar-polar",0.32,-1.54,0.31,-0.6,0.52,0.93,0.31,-0.08,0.42,-0.08,0.42
"thiol-aliphatic",0.23,-0.6,0.23,-0.49,-0.09,-0.06,0.23,-0.09,-0.06,-0.09,-0.06
"thiol-anionic",0.02,-1.86,0.02,-1.27,-0.7,-0.61,0.02,-0.75,-0.68,-0.75,-0.68
"thiol-cationic",0.34,-0.93,0.34,-0.57,-0.1,0.04,0.34,-0.19,-0.07,-0.19,-0.06
"thiol-thiol",6.31,4.96,6.31,3.27,3.95,4.2,6.31,4.02,4.27,4.02,4.27
"total",0.16,-1.21,0.32,-0.61,0.01,0.26,0.45,-0.16,0.12,-0.01,0.27
